epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,249.156,2.53899,3.60201,2.25602,0.016,0.85132,0.18082,0.07027,2.11628,3.2271,1.61587,0.00017148,5.716e-05,0.00017148,5.716e-05,0.00017148,5.716e-05,0.00017148,5.716e-05
2,426.993,2.45542,3.57466,2.17778,0.01574,0.82102,0.16205,0.06571,2.09351,3.22949,1.60754,0.000378191,0.000126064,0.000378191,0.000126064,0.000378191,0.000126064,0.000378191,0.000126064
3,561.031,2.42311,3.55297,2.13838,0.01597,0.85132,0.16419,0.07044,2.02158,3.23284,1.57773,0.000576413,0.000192138,0.000576413,0.000192138,0.000576413,0.000192138,0.000576413,0.000192138
4,778.086,2.44699,3.59252,2.16047,0.01496,0.78551,0.16612,0.07356,1.98231,3.22541,1.54503,0.000766147,0.000255382,0.000766147,0.000255382,0.000766147,0.000255382,0.000766147,0.000255382
5,1011.27,2.40393,3.54163,2.11629,0.01472,0.77218,0.16234,0.07809,1.93187,3.22035,1.50155,0.000947393,0.000315798,0.000947393,0.000315798,0.000947393,0.000315798,0.000947393,0.000315798
6,1160.46,2.28156,3.53795,2.04792,0.01389,0.72562,0.15815,0.08057,1.868,3.22629,1.47251,0.00112015,0.000373383,0.00112015,0.000373383,0.00112015,0.000373383,0.00112015,0.000373383
7,1289.83,2.18098,3.53855,1.94136,0.01463,0.75521,0.16602,0.08512,1.76204,3.22134,1.4121,0.00128442,0.00042814,0.00128442,0.00042814,0.00128442,0.00042814,0.00128442,0.00042814
8,1397.41,2.20627,3.46719,1.99248,0.01404,0.73082,0.16045,0.08633,1.70967,3.22631,1.39169,0.0014402,0.000480067,0.0014402,0.000480067,0.0014402,0.000480067,0.0014402,0.000480067
9,1514.19,2.07323,3.42013,1.88725,0.01483,0.76562,0.16968,0.09105,1.58896,3.22081,1.33041,0.00158749,0.000529164,0.00158749,0.000529164,0.00158749,0.000529164,0.00158749,0.000529164
10,1637.04,1.95847,3.38147,1.82726,0.01525,0.79592,0.16739,0.09239,1.54766,3.22399,1.30949,0.0017263,0.000575433,0.0017263,0.000575433,0.0017263,0.000575433,0.0017263,0.000575433
