epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2424.37,0.91412,1.49395,1.15751,0.46423,0.25,0.2244,0.19945,0.80378,1.41535,1.12026,0.000415455,0.000415455,0.000415455
2,4727.46,0.47795,0.67015,0.90283,0.468,0.3227,0.22944,0.22449,0.70173,1.59342,1.09197,0.000815646,0.000815646,0.000815646
3,8696.83,0.42247,0.54413,0.8837,0.46774,0.25059,0.21544,0.21408,0.54397,1.33247,1.0346,0.00119934,0.00119934,0.00119934
4,10432.2,0.38388,0.47634,0.87253,0.71427,0.25,0.22338,0.22338,0.5014,1.31862,0.9939,0.00117575,0.00117575,0.00117575
5,12207.7,0.35526,0.43135,0.86041,0.50946,0.27178,0.22571,0.22058,0.49273,1.40165,1.03872,0.001151,0.001151,0.001151
6,13965.6,0.32495,0.39605,0.85254,0.53663,0.2678,0.22652,0.21998,0.55525,1.50911,1.08186,0.00112625,0.00112625,0.00112625
7,15697.7,0.32112,0.38647,0.85139,0.26059,0.27671,0.22081,0.21679,0.5199,1.48054,1.07346,0.0011015,0.0011015,0.0011015
8,17446.2,0.30353,0.36785,0.84758,0.55534,0.27084,0.23011,0.22646,0.57421,1.38523,1.12977,0.00107675,0.00107675,0.00107675
9,19172.4,0.2958,0.35015,0.84407,0.57461,0.28561,0.23807,0.225,0.62853,1.50805,1.26907,0.001052,0.001052,0.001052
10,20908,0.2874,0.34036,0.84164,0.57776,0.28635,0.23798,0.23298,0.5601,1.46216,1.2504,0.00102725,0.00102725,0.00102725
11,22641.9,0.2732,0.32633,0.83867,0.59363,0.25955,0.23818,0.23554,0.44751,1.30608,1.04552,0.0010025,0.0010025,0.0010025
12,24373.5,0.26626,0.31438,0.83362,0.57731,0.29525,0.24073,0.2327,0.5444,1.42174,1.1524,0.00097775,0.00097775,0.00097775
13,26143.8,0.26289,0.30977,0.83268,0.55421,0.28635,0.23405,0.22395,0.5411,1.50701,1.15446,0.000953,0.000953,0.000953
14,27932.8,0.2597,0.3041,0.83231,0.58431,0.28635,0.24091,0.23196,0.43423,1.35849,1.0351,0.00092825,0.00092825,0.00092825
15,29722.8,0.24856,0.29247,0.83054,0.58607,0.28635,0.23715,0.23142,0.54239,1.40109,1.17112,0.0009035,0.0009035,0.0009035
16,31529.4,0.2483,0.28623,0.82686,0.55998,0.28561,0.24143,0.23515,0.51336,1.42271,1.10617,0.00087875,0.00087875,0.00087875
17,33352.1,0.24005,0.2788,0.82807,0.56115,0.28635,0.24086,0.23836,0.49736,1.4164,1.06433,0.000854,0.000854,0.000854
18,35180.5,0.23712,0.27669,0.82595,0.58867,0.28635,0.23662,0.2322,0.47634,1.49588,1.08543,0.00082925,0.00082925,0.00082925
19,37012.3,0.23313,0.27204,0.82534,0.5742,0.29377,0.24018,0.2348,0.52799,1.6313,1.06672,0.0008045,0.0008045,0.0008045
20,38842.9,0.2284,0.26324,0.82285,0.55368,0.28561,0.23303,0.22965,0.44271,1.46462,1.04546,0.00077975,0.00077975,0.00077975
21,40676.2,0.22785,0.265,0.82273,0.28194,0.28116,0.22795,0.22672,0.50248,1.54795,1.05071,0.000755,0.000755,0.000755
22,42514.9,0.21953,0.25459,0.82167,0.57074,0.28964,0.24389,0.23935,0.48105,1.55308,1.05774,0.00073025,0.00073025,0.00073025
23,44351.8,0.21852,0.25243,0.82133,0.30934,0.29525,0.23998,0.23146,0.48585,1.51485,1.04082,0.0007055,0.0007055,0.0007055
24,46178.5,0.21474,0.2475,0.82051,0.5478,0.2891,0.23634,0.22744,0.47384,1.53396,1.09678,0.00068075,0.00068075,0.00068075
25,47986.2,0.21095,0.24597,0.81938,0.53098,0.27374,0.22842,0.22644,0.41112,1.40963,1.04182,0.000656,0.000656,0.000656
26,49793.8,0.21001,0.24425,0.81975,0.55772,0.28612,0.23467,0.22976,0.49774,1.62905,1.09457,0.00063125,0.00063125,0.00063125
27,51598.4,0.20472,0.23495,0.81733,0.58267,0.28561,0.23743,0.22667,0.43938,1.47129,1.0346,0.0006065,0.0006065,0.0006065
28,58355.6,0.20165,0.23482,0.81865,0.57979,0.28635,0.23859,0.2263,0.4912,1.53164,1.06378,0.00058175,0.00058175,0.00058175
29,61015.4,0.20051,0.23248,0.81647,0.58739,0.29321,0.23962,0.23308,0.48708,1.51321,1.09424,0.000557,0.000557,0.000557
30,63248.9,0.19414,0.22519,0.81337,0.58637,0.28635,0.23802,0.23161,0.48743,1.51149,1.08198,0.00053225,0.00053225,0.00053225
31,65356.1,0.19218,0.21955,0.81456,0.58683,0.29154,0.24299,0.23614,0.46824,1.63012,1.09907,0.0005075,0.0005075,0.0005075
32,67441.2,0.1911,0.22131,0.81411,0.55098,0.2819,0.23262,0.23036,0.4696,1.5665,1.10668,0.00048275,0.00048275,0.00048275
33,70877.3,0.18911,0.21648,0.81336,0.55541,0.28635,0.23252,0.22733,0.47907,1.50666,1.09491,0.000458,0.000458,0.000458
34,76620.8,0.18483,0.21393,0.81177,0.55436,0.28561,0.23408,0.23026,0.52356,1.5625,1.14549,0.00043325,0.00043325,0.00043325
35,79702.8,0.18205,0.21004,0.81204,0.58105,0.27671,0.23946,0.23321,0.44092,1.49998,1.06327,0.0004085,0.0004085,0.0004085
