epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2552.23,0.91412,1.49395,1.15751,0.46423,0.25,0.2244,0.19945,0.80378,1.41535,1.12026,0.000415455,0.000415455,0.000415455
2,4564.7,0.47795,0.67015,0.90283,0.468,0.3227,0.22944,0.22449,0.70173,1.59342,1.09197,0.000815646,0.000815646,0.000815646
3,6777.1,0.42247,0.54413,0.8837,0.46774,0.25059,0.21544,0.21408,0.54397,1.33247,1.0346,0.00119934,0.00119934,0.00119934
4,9238.13,0.38388,0.47634,0.87253,0.71427,0.25,0.22338,0.22338,0.5014,1.31862,0.9939,0.00117575,0.00117575,0.00117575
5,11448.7,0.35526,0.43135,0.86041,0.50946,0.27178,0.22571,0.22058,0.49273,1.40165,1.03872,0.001151,0.001151,0.001151
6,13188.5,0.32495,0.39605,0.85254,0.53663,0.2678,0.22652,0.21998,0.55525,1.50911,1.08186,0.00112625,0.00112625,0.00112625
7,14886.5,0.32112,0.38647,0.85139,0.26059,0.27671,0.22081,0.21679,0.5199,1.48054,1.07346,0.0011015,0.0011015,0.0011015
8,16622.5,0.30353,0.36785,0.84758,0.55534,0.27084,0.23011,0.22646,0.57421,1.38523,1.12977,0.00107675,0.00107675,0.00107675
9,18338.7,0.2958,0.35015,0.84407,0.57461,0.28561,0.23807,0.225,0.62853,1.50805,1.26907,0.001052,0.001052,0.001052
10,20050.5,0.2874,0.34036,0.84164,0.57776,0.28635,0.23798,0.23298,0.5601,1.46216,1.2504,0.00102725,0.00102725,0.00102725
11,21805.1,0.2732,0.32633,0.83867,0.59363,0.25955,0.23818,0.23554,0.44751,1.30608,1.04552,0.0010025,0.0010025,0.0010025
12,23559.9,0.26626,0.31438,0.83362,0.57731,0.29525,0.24073,0.2327,0.5444,1.42174,1.1524,0.00097775,0.00097775,0.00097775
13,25312,0.26289,0.30977,0.83268,0.55421,0.28635,0.23405,0.22395,0.5411,1.50701,1.15446,0.000953,0.000953,0.000953
14,27063.1,0.2597,0.3041,0.83231,0.58431,0.28635,0.24091,0.23196,0.43423,1.35849,1.0351,0.00092825,0.00092825,0.00092825
15,28818.7,0.24856,0.29247,0.83054,0.58607,0.28635,0.23715,0.23142,0.54239,1.40109,1.17112,0.0009035,0.0009035,0.0009035
16,30566.1,0.2483,0.28623,0.82686,0.55998,0.28561,0.24143,0.23515,0.51336,1.42271,1.10617,0.00087875,0.00087875,0.00087875
17,32328.5,0.24005,0.2788,0.82807,0.56115,0.28635,0.24086,0.23836,0.49736,1.4164,1.06433,0.000854,0.000854,0.000854
18,34085,0.23712,0.27669,0.82595,0.58867,0.28635,0.23662,0.2322,0.47634,1.49588,1.08543,0.00082925,0.00082925,0.00082925
19,35841.2,0.23313,0.27204,0.82534,0.5742,0.29377,0.24018,0.2348,0.52799,1.6313,1.06672,0.0008045,0.0008045,0.0008045
20,37596.8,0.2284,0.26324,0.82285,0.55368,0.28561,0.23303,0.22965,0.44271,1.46462,1.04546,0.00077975,0.00077975,0.00077975
21,39348.7,0.22785,0.265,0.82273,0.28194,0.28116,0.22795,0.22672,0.50248,1.54795,1.05071,0.000755,0.000755,0.000755
22,41087.8,0.21953,0.25459,0.82167,0.57074,0.28964,0.24389,0.23935,0.48105,1.55308,1.05774,0.00073025,0.00073025,0.00073025
23,42830.8,0.21852,0.25243,0.82133,0.30934,0.29525,0.23998,0.23146,0.48585,1.51485,1.04082,0.0007055,0.0007055,0.0007055
24,44586.2,0.21474,0.2475,0.82051,0.5478,0.2891,0.23634,0.22744,0.47384,1.53396,1.09678,0.00068075,0.00068075,0.00068075
25,46340.6,0.21095,0.24597,0.81938,0.53098,0.27374,0.22842,0.22644,0.41112,1.40963,1.04182,0.000656,0.000656,0.000656
26,48097.2,0.21001,0.24425,0.81975,0.55772,0.28612,0.23467,0.22976,0.49774,1.62905,1.09457,0.00063125,0.00063125,0.00063125
27,49845,0.20472,0.23495,0.81733,0.58267,0.28561,0.23743,0.22667,0.43938,1.47129,1.0346,0.0006065,0.0006065,0.0006065
28,51599.4,0.20165,0.23482,0.81865,0.57979,0.28635,0.23859,0.2263,0.4912,1.53164,1.06378,0.00058175,0.00058175,0.00058175
29,53351.6,0.20051,0.23248,0.81647,0.58739,0.29321,0.23962,0.23308,0.48708,1.51321,1.09424,0.000557,0.000557,0.000557
30,55108.1,0.19414,0.22519,0.81337,0.58637,0.28635,0.23802,0.23161,0.48743,1.51149,1.08198,0.00053225,0.00053225,0.00053225
31,56863.7,0.19218,0.21955,0.81456,0.58683,0.29154,0.24299,0.23614,0.46824,1.63012,1.09907,0.0005075,0.0005075,0.0005075
32,58628.5,0.1911,0.22131,0.81411,0.55098,0.2819,0.23262,0.23036,0.4696,1.5665,1.10668,0.00048275,0.00048275,0.00048275
33,60381.8,0.18911,0.21648,0.81336,0.55541,0.28635,0.23252,0.22733,0.47907,1.50666,1.09491,0.000458,0.000458,0.000458
34,62132.4,0.18483,0.21393,0.81177,0.55436,0.28561,0.23408,0.23026,0.52356,1.5625,1.14549,0.00043325,0.00043325,0.00043325
35,63880.5,0.18205,0.21004,0.81204,0.58105,0.27671,0.23946,0.23321,0.44092,1.49998,1.06327,0.0004085,0.0004085,0.0004085
36,68758.1,0.18315,0.2088,0.81182,0.27586,0.28566,0.23098,0.22572,0.48817,1.5785,1.12614,0.00038375,0.00038375,0.00038375
37,73892.1,0.17634,0.20401,0.81055,0.56296,0.28635,0.2353,0.23209,0.4503,1.50586,1.06985,0.000359,0.000359,0.000359
38,76918.9,0.18042,0.20616,0.8112,0.57853,0.28635,0.23585,0.23389,0.49739,1.51658,1.12978,0.00033425,0.00033425,0.00033425
39,79166.4,0.17621,0.2007,0.81208,0.57409,0.28561,0.23734,0.23217,0.48878,1.53291,1.1123,0.0003095,0.0003095,0.0003095
40,82125.9,0.17075,0.19548,0.81129,0.58892,0.28635,0.23969,0.23794,0.44748,1.51136,1.07355,0.00028475,0.00028475,0.00028475
41,84394.7,0.09547,0.11555,0.76095,0.58497,0.28635,0.2358,0.23257,0.43653,1.52217,1.05707,0.00026,0.00026,0.00026
42,86375.2,0.08916,0.10758,0.76095,0.55479,0.28635,0.23509,0.22945,0.36289,1.37817,1.00223,0.00023525,0.00023525,0.00023525
43,88591.8,0.08402,0.1003,0.75994,0.57336,0.28561,0.23697,0.23493,0.39544,1.53241,1.02589,0.0002105,0.0002105,0.0002105
44,92892.4,0.0765,0.09396,0.76104,0.57069,0.28561,0.23836,0.23232,0.43046,1.67395,1.07586,0.00018575,0.00018575,0.00018575
45,94470.6,0.07193,0.08693,0.75702,0.54842,0.28561,0.24692,0.23986,0.37384,1.50881,1.01692,0.000161,0.000161,0.000161
46,96054.7,0.06983,0.08348,0.76159,0.56657,0.28561,0.24394,0.23472,0.34814,1.50441,0.9896,0.00013625,0.00013625,0.00013625
47,97638,0.06584,0.08092,0.75704,0.55573,0.28561,0.23929,0.23333,0.37836,1.61329,1.02647,0.0001115,0.0001115,0.0001115
48,99212.7,0.0639,0.07951,0.75771,0.56623,0.28561,0.23703,0.23219,0.38354,1.56207,1.01405,8.675e-05,8.675e-05,8.675e-05
49,100826,0.05957,0.07381,0.75781,0.5677,0.28561,0.24771,0.23971,0.36381,1.55083,1.00408,6.2e-05,6.2e-05,6.2e-05
50,102446,0.05729,0.06995,0.75734,0.31769,0.28561,0.24505,0.23707,0.35819,1.54047,1.00097,3.725e-05,3.725e-05,3.725e-05
