epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,396.218,1.62391,2.65353,1.50387,0.838,0.66667,0.66333,0.58844,0.80098,2.70192,1.02674,0.000410156,0.000410156,0.000410156
2,773.737,0.66339,0.93054,0.92488,0.99932,0.66667,0.66333,0.62905,0.57047,1.5832,0.93822,0.000810452,0.000810452,0.000810452
3,1181.02,0.57093,0.76262,0.88811,0.99975,0.66667,0.66333,0.66333,0.50972,0.89605,0.97682,0.00119425,0.00119425,0.00119425
4,1599.7,0.49165,0.63798,0.86547,0.99982,0.66667,0.66333,0.66333,0.47569,0.71044,0.86964,0.00117575,0.00117575,0.00117575
