epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,203.86,2.50491,3.66777,2.15846,0.01592,0.84612,0.18468,0.07325,2.12113,3.22636,1.59661,0,0,0,0,0,0,0,0
2,2486.37,2.69383,3.6751,2.25821,0.01567,0.84612,0.17965,0.07135,2.11714,3.22981,1.59871,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05
3,2549.9,2.32811,3.59914,2.14968,0.01545,0.83799,0.18271,0.07187,2.11451,3.22508,1.59814,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05
4,2586.66,2.71868,3.72947,2.34478,0.01561,0.83799,0.18115,0.07165,2.11163,3.22595,1.60312,0.000120971,4.03235e-05,0.000120971,4.03235e-05,0.000120971,4.03235e-05,0.000120971,4.03235e-05
5,2618.34,2.65227,3.72613,2.2518,0.01602,0.85132,0.18042,0.07091,2.11709,3.22526,1.61201,0.000157899,5.26329e-05,0.000157899,5.26329e-05,0.000157899,5.26329e-05,0.000157899,5.26329e-05
6,2641.54,2.47054,3.68189,2.18477,0.0162,0.85132,0.1771,0.07024,2.11435,3.22201,1.61296,0.000193129,6.43764e-05,0.000193129,6.43764e-05,0.000193129,6.43764e-05,0.000193129,6.43764e-05
7,2669.62,2.70723,3.66534,2.29942,0.01633,0.85132,0.17612,0.06889,2.11408,3.22298,1.61594,0.000226662,7.55541e-05,0.000226662,7.55541e-05,0.000226662,7.55541e-05,0.000226662,7.55541e-05
8,2715.8,2.42863,3.66506,2.17394,0.01636,0.85132,0.17478,0.06769,2.10988,3.22313,1.61731,0.000258498,8.61658e-05,0.000258498,8.61658e-05,0.000258498,8.61658e-05,0.000258498,8.61658e-05
9,2749.66,2.5869,3.69511,2.21063,0.01614,0.83799,0.17167,0.06673,2.11631,3.2249,1.61723,0.000288635,9.62117e-05,0.000288635,9.62117e-05,0.000288635,9.62117e-05,0.000288635,9.62117e-05
10,2774.35,2.39519,3.57447,2.08194,0.01615,0.84319,0.16403,0.06417,2.11723,3.22743,1.6206,0.000317075,0.000105692,0.000317075,0.000105692,0.000317075,0.000105692,0.000317075,0.000105692
11,2800.27,2.57983,3.65207,2.2263,0.01555,0.81289,0.15842,0.06449,2.12321,3.22944,1.61863,0.000343817,0.000114606,0.000343817,0.000114606,0.000343817,0.000114606,0.000343817,0.000114606
12,2825.2,2.59914,3.66454,2.25379,0.01552,0.81289,0.15577,0.06417,2.12562,3.23031,1.61777,0.000368862,0.000122954,0.000368862,0.000122954,0.000368862,0.000122954,0.000368862,0.000122954
13,2850.14,2.52882,3.65964,2.14769,0.01607,0.84319,0.15087,0.06294,2.11394,3.23511,1.61284,0.000392209,0.000130736,0.000392209,0.000130736,0.000392209,0.000130736,0.000392209,0.000130736
