epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7349,2.50144,3.59616,2.21875,0.01708,0.88905,0.19541,0.07915,1.96125,3.1932,1.47158,5.716e-05,5.716e-05,5.716e-05
2,66.9637,2.15877,3.47641,1.91398,0.0169,0.875,0.20419,0.11232,1.61062,3.17599,1.25793,0.000126064,0.000126064,0.000126064
3,84.0864,1.86515,3.32509,1.68109,0.0162,0.85718,0.2106,0.09249,1.96598,3.25087,1.48342,0.000192138,0.000192138,0.000192138
4,101.274,1.82275,3.18216,1.5933,0.01678,0.90829,0.1964,0.07562,2.18078,3.31915,1.64219,0.000255382,0.000255382,0.000255382
5,119.001,1.80228,2.99574,1.54468,0.01757,0.93718,0.40541,0.20451,1.50252,3.16341,1.23608,0.000315798,0.000315798,0.000315798
6,136.969,1.75746,2.83342,1.52656,0.01669,0.88092,0.44688,0.23537,1.40823,3.1529,1.2187,0.000373383,0.000373383,0.000373383
7,154.407,1.6962,2.53707,1.49297,0.01803,0.94081,0.45508,0.22606,1.49331,3.03127,1.2365,0.00042814,0.00042814,0.00042814
8,171.785,1.78195,2.43523,1.56749,0.01815,0.94081,0.50856,0.24822,1.50756,3.04756,1.31081,0.000480067,0.000480067,0.000480067
9,189.806,1.76652,2.19087,1.58769,0.01838,0.95415,0.568,0.32342,1.45337,2.84005,1.27174,0.000529164,0.000529164,0.000529164
10,208.652,1.68219,1.98343,1.55658,0.94263,0.06449,0.61061,0.32483,1.43191,2.76336,1.28595,0.000575433,0.000575433,0.000575433
11,227.87,1.71194,1.84832,1.5655,0.92924,0.12215,0.6106,0.30253,1.49263,2.73774,1.37646,0.000618871,0.000618871,0.000618871
12,244.568,1.52342,1.86127,1.45013,0.81364,0.17105,0.63455,0.33719,1.4869,2.57831,1.37597,0.000659481,0.000659481,0.000659481
13,262.438,1.66323,1.76797,1.52477,0.82149,0.24269,0.65633,0.32722,1.48263,2.56785,1.39898,0.000697261,0.000697261,0.000697261
14,281.511,1.68952,1.78959,1.56727,0.85017,0.2165,0.6662,0.32975,1.57331,2.55505,1.44795,0.000732211,0.000732211,0.000732211
15,299.846,1.64337,1.66119,1.50149,0.84002,0.27125,0.67121,0.31509,1.65111,2.53564,1.44411,0.000764332,0.000764332,0.000764332
16,318.407,1.56385,1.64562,1.44841,0.81921,0.30847,0.66835,0.30402,1.67844,2.49183,1.46598,0.000793624,0.000793624,0.000793624
17,343.926,1.53152,1.57953,1.44864,0.75097,0.48036,0.66184,0.30737,1.67902,2.26471,1.45154,0.000820086,0.000820086,0.000820086
