epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,721.745,1.41391,2.90546,1.46696,0.00323,0.3462,0.07482,0.01335,2.76889,4.0273,2.73616,0.00041336,0.00041336,0.00041336
2,1492.33,0.75636,1.39626,1.01033,0.5647,0.34422,0.22924,0.09771,2.73923,3.37774,2.80272,0.000813592,0.000813592,0.000813592
3,2285.5,0.66132,1.10135,0.96472,0.0082,0.52133,0.09648,0.01574,2.78247,3.93253,3.03669,0.00119732,0.00119732,0.00119732
4,3024.44,0.56521,0.84088,0.92394,0.53927,0.19322,0.16714,0.04023,3.31995,3.71373,3.59539,0.00117575,0.00117575,0.00117575
5,3744.39,0.51228,0.70213,0.8996,0.03854,0.49911,0.09481,0.02788,3.03783,4.43322,2.96663,0.001151,0.001151,0.001151
6,4422.76,0.45429,0.60086,0.87905,0.01624,0.04756,0.00928,0.00292,2.68838,4.755,2.77779,0.00112625,0.00112625,0.00112625
7,5088.96,0.44426,0.55667,0.87672,0.11597,0.08911,0.07647,0.03582,2.88901,4.45304,3.02802,0.0011015,0.0011015,0.0011015
8,5819.28,0.41249,0.50699,0.86569,0.07431,0.222,0.09267,0.01896,2.82629,4.48451,2.59088,0.00107675,0.00107675,0.00107675
9,6554.67,0.38811,0.47683,0.85939,0.06926,0.42089,0.05751,0.02108,3.03083,4.81063,2.88937,0.001052,0.001052,0.001052
10,7303.28,0.38548,0.46876,0.8519,0.05073,0.21293,0.05296,0.01082,2.82652,5.07883,3.04965,0.00102725,0.00102725,0.00102725
11,7965.57,0.38725,0.46576,0.85701,0.49423,0.11867,0.09442,0.02259,2.88718,4.21683,2.82564,0.0010025,0.0010025,0.0010025
12,8685.76,0.37295,0.43165,0.85137,0.02233,0.05644,0.01317,0.00384,2.59904,5.02685,2.40337,0.00097775,0.00097775,0.00097775
13,9563.36,0.3668,0.41948,0.84497,0.01631,0.01356,0.0085,0.00085,2.67442,5.37831,2.74448,0.000953,0.000953,0.000953
14,10392.6,0.35596,0.39963,0.84866,0,0,0,0,2.9502,5.97684,3.20214,0.00092825,0.00092825,0.00092825
15,11174.4,0.34495,0.3962,0.84274,0.10469,0.11111,0.07954,0.01545,2.98524,5.04554,2.87326,0.0009035,0.0009035,0.0009035
16,11997.5,0.327,0.37931,0.84458,0.12368,0.10644,0.08387,0.03094,2.88793,4.85263,2.29611,0.00087875,0.00087875,0.00087875
17,12715.1,0.31518,0.35839,0.83372,0.04837,0.02844,0.02626,0.00579,3.0058,5.65138,2.8937,0.000854,0.000854,0.000854
18,13441.7,0.32319,0.35681,0.83781,0.02095,0.12984,0.01577,0.00266,3.29523,5.27519,3.72649,0.00082925,0.00082925,0.00082925
19,14135.1,0.30312,0.34321,0.82952,0.00025,0.00022,0.00012,1e-05,3.32411,5.46721,3.01657,0.0008045,0.0008045,0.0008045
20,14770.2,0.30438,0.33906,0.82907,0.01335,0.03868,0.00747,0.00178,2.9598,5.99178,3.1211,0.00077975,0.00077975,0.00077975
21,15419.5,0.29855,0.34224,0.83375,0,0,0,0,3.06365,5.82038,2.89128,0.000755,0.000755,0.000755
22,16082.3,0.29538,0.32563,0.83236,0.0097,0.00833,0.00491,0.00084,2.74756,5.56813,2.60356,0.00073025,0.00073025,0.00073025
23,16724.3,0.28728,0.31866,0.82879,0.04594,0.10689,0.03599,0.00847,3.08901,5.38836,2.76791,0.0007055,0.0007055,0.0007055
24,17371.1,0.28012,0.31719,0.82757,0.03124,0.02756,0.01692,0.00353,2.97008,5.46137,2.75792,0.00068075,0.00068075,0.00068075
25,18024.1,0.28089,0.31096,0.82902,0.06306,0.05044,0.0363,0.00802,2.7152,6.03248,2.92618,0.000656,0.000656,0.000656
