epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2907,2.50144,3.59616,2.21875,0.01708,0.88905,0.19541,0.07915,1.96125,3.1932,1.47158,5.716e-05,5.716e-05,5.716e-05
2,67.1616,2.15877,3.47641,1.91398,0.0169,0.875,0.20419,0.11232,1.61062,3.17599,1.25793,0.000126064,0.000126064,0.000126064
3,103.385,1.86515,3.32509,1.68109,0.0162,0.85718,0.2106,0.09249,1.96598,3.25087,1.48342,0.000192138,0.000192138,0.000192138
4,156.579,1.82275,3.18216,1.5933,0.01678,0.90829,0.1964,0.07562,2.18078,3.31915,1.64219,0.000255382,0.000255382,0.000255382
5,196.337,1.80228,2.99574,1.54468,0.01757,0.93718,0.40541,0.20451,1.50252,3.16341,1.23608,0.000315798,0.000315798,0.000315798
