epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.96,2.62964,3.82396,2.1151,0.00499,0.16191,0.04039,0.00652,2.52551,3.97089,2.02255,0.0003875,0.0003875,0.0003875
2,371.94,2.02504,2.80002,1.62536,0.01291,0.28702,0.08857,0.0541,2.11583,3.64407,1.92007,0.000771908,0.000771908,0.000771908
3,550.81,1.73934,1.91832,1.44332,0.35627,0.16807,0.21976,0.08491,2.24954,3.1685,2.13634,0.00114047,0.00114047,0.00114047
4,728.257,1.64801,1.6747,1.39936,0.34633,0.37364,0.36084,0.14851,2.1401,2.42269,2.03254,0.00117575,0.00117575,0.00117575
5,906.493,1.37565,1.38596,1.25629,0.55066,0.41473,0.46288,0.21597,2.12942,2.09113,1.95208,0.001151,0.001151,0.001151
6,1088.13,1.26063,1.21257,1.20151,0.5412,0.49791,0.48202,0.24046,2.06844,2.07786,1.90997,0.00112625,0.00112625,0.00112625
7,3927.22,1.14596,1.11635,1.14707,0.57131,0.42116,0.42493,0.27269,1.96527,2.08575,1.8522,0.0011015,0.0011015,0.0011015
8,4232.39,1.08739,1.02849,1.12214,0.48765,0.51411,0.42971,0.24415,1.93952,2.29159,1.77765,0.00107675,0.00107675,0.00107675
9,4495.73,1.0245,0.96545,1.08527,0.50512,0.57014,0.50095,0.29067,1.89726,1.85905,1.8469,0.001052,0.001052,0.001052
10,4653.66,1.00936,0.9021,1.06562,0.59979,0.55867,0.50091,0.2839,1.9214,1.84869,1.91667,0.00102725,0.00102725,0.00102725
11,4819.94,0.93951,0.8664,1.04513,0.60106,0.50664,0.46045,0.24496,1.97052,2.16852,1.90518,0.0010025,0.0010025,0.0010025
12,4980.26,0.91158,0.82387,1.02532,0.55679,0.53722,0.48213,0.27669,1.90736,1.91103,1.92762,0.00097775,0.00097775,0.00097775
13,5132.14,0.87645,0.81071,1.01791,0.54644,0.55221,0.48073,0.2819,1.85668,2.0525,1.88089,0.000953,0.000953,0.000953
14,5281.49,0.88227,0.79528,1.01482,0.90361,0.55691,0.57989,0.35855,1.756,1.72044,1.77499,0.00092825,0.00092825,0.00092825
15,5437.04,0.81779,0.73866,0.98802,0.58056,0.5341,0.51239,0.34481,1.77567,1.87784,1.87368,0.0009035,0.0009035,0.0009035
16,5589.38,0.79592,0.71644,0.98073,0.5711,0.47704,0.43572,0.2992,1.87856,1.87321,1.85409,0.00087875,0.00087875,0.00087875
17,5737.23,0.79696,0.71944,0.97977,0.67033,0.55789,0.54581,0.33805,1.75444,1.69926,1.76965,0.000854,0.000854,0.000854
18,5885.89,0.78266,0.71111,0.97507,0.51147,0.52569,0.42998,0.2743,1.8097,1.93293,1.77861,0.00082925,0.00082925,0.00082925
19,6038.2,0.78934,0.69687,0.97994,0.6527,0.53817,0.55144,0.34221,1.78264,1.76772,1.8306,0.0008045,0.0008045,0.0008045
20,6187.02,0.73754,0.66242,0.96208,0.62914,0.55582,0.53248,0.3242,1.75969,1.76628,1.83978,0.00077975,0.00077975,0.00077975
21,6335.57,0.7375,0.65463,0.96041,0.65788,0.55147,0.51084,0.31104,1.74886,1.87329,1.8217,0.000755,0.000755,0.000755
22,6482.37,0.72611,0.64531,0.95292,0.75932,0.49251,0.42956,0.29129,1.85136,1.72259,1.86407,0.00073025,0.00073025,0.00073025
23,6665.78,0.7049,0.63206,0.9466,0.64877,0.49755,0.48211,0.34004,1.75338,1.75182,1.84053,0.0007055,0.0007055,0.0007055
24,6858.74,0.71599,0.64059,0.95215,0.67407,0.54568,0.54492,0.33737,1.75795,1.88312,1.80557,0.00068075,0.00068075,0.00068075
25,7047.15,0.6801,0.60695,0.94204,0.60649,0.59953,0.49562,0.29566,1.78598,1.87658,1.8743,0.000656,0.000656,0.000656
26,7239.54,0.68053,0.60556,0.93876,0.59932,0.57905,0.49004,0.29221,1.83263,1.90083,1.91113,0.00063125,0.00063125,0.00063125
27,7430.24,0.69983,0.61638,0.94244,0.61148,0.57445,0.51778,0.30217,1.72095,1.88449,1.83094,0.0006065,0.0006065,0.0006065
28,7624.15,0.65876,0.58114,0.92834,0.68465,0.56245,0.51456,0.33399,1.75227,1.84171,1.82597,0.00058175,0.00058175,0.00058175
29,7842.12,0.64188,0.57023,0.92817,0.48708,0.55325,0.40356,0.27191,1.76088,2.03302,1.82011,0.000557,0.000557,0.000557
30,8047.77,0.65891,0.57293,0.92907,0.57641,0.51437,0.41934,0.29663,1.755,1.89601,1.79274,0.00053225,0.00053225,0.00053225
31,8263.82,0.66091,0.58557,0.93733,0.61325,0.51042,0.43189,0.29611,1.86037,1.82559,1.86737,0.0005075,0.0005075,0.0005075
32,8463.14,0.64624,0.5649,0.92876,0.64205,0.54501,0.49545,0.33077,1.69901,1.80652,1.80453,0.00048275,0.00048275,0.00048275
33,8667.27,0.6338,0.56294,0.92239,0.56467,0.50632,0.4158,0.29668,1.77047,1.87434,1.87747,0.000458,0.000458,0.000458
34,8863.45,0.60571,0.53927,0.90896,0.47324,0.51236,0.40801,0.22814,1.8507,2.17996,1.90375,0.00043325,0.00043325,0.00043325
35,9060.57,0.61288,0.5357,0.91038,0.57982,0.51909,0.48154,0.28342,1.73714,1.98176,1.81408,0.0004085,0.0004085,0.0004085
36,9255.79,0.60541,0.53682,0.9181,0.41341,0.39943,0.33605,0.22891,1.84363,2.10696,1.87051,0.00038375,0.00038375,0.00038375
37,9453.16,0.61424,0.53301,0.91002,0.45472,0.57066,0.44093,0.25843,1.76354,2.01179,1.85551,0.000359,0.000359,0.000359
38,9649.7,0.59412,0.51888,0.90362,0.56904,0.45531,0.4378,0.26986,1.72995,2.12646,1.82636,0.00033425,0.00033425,0.00033425
39,9843.41,0.57429,0.50202,0.90221,0.44194,0.45666,0.38067,0.22174,1.8652,2.25564,1.8816,0.0003095,0.0003095,0.0003095
40,10040,0.57248,0.50377,0.89991,0.39752,0.39013,0.29832,0.19358,1.86216,2.37192,1.906,0.00028475,0.00028475,0.00028475
