epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,558.424,1.62391,2.65353,1.50387,0.838,0.66667,0.66333,0.58844,0.80098,2.70192,1.02674,0.000410156,0.000410156,0.000410156
2,1641.08,0.66339,0.93054,0.92488,0.99932,0.66667,0.66333,0.62905,0.57047,1.5832,0.93822,0.000810452,0.000810452,0.000810452
3,2049.2,0.57093,0.76262,0.88811,0.99975,0.66667,0.66333,0.66333,0.50972,0.89605,0.97682,0.00119425,0.00119425,0.00119425
4,2368.7,0.49165,0.63798,0.86547,0.99982,0.66667,0.66333,0.66333,0.47569,0.71044,0.86964,0.00117575,0.00117575,0.00117575
5,2707.64,0.44097,0.55455,0.84606,0.99979,0.66667,0.66333,0.66333,0.42096,0.75467,0.82801,0.001151,0.001151,0.001151
6,3054.53,0.40448,0.50059,0.83916,0.99981,0.66667,0.66333,0.66333,0.36212,0.58656,0.82355,0.00112625,0.00112625,0.00112625
7,3394.52,0.37627,0.46343,0.8403,0.99976,0.66667,0.66333,0.6633,0.40669,0.63575,0.83874,0.0011015,0.0011015,0.0011015
8,3813.81,0.35621,0.43096,0.82803,0.99982,0.66667,0.66333,0.66333,0.40943,0.58951,0.86009,0.00107675,0.00107675,0.00107675
9,4263.21,0.35317,0.41015,0.83039,0.66646,0.66667,0.66333,0.66333,0.27231,0.45132,0.85478,0.001052,0.001052,0.001052
10,4679.99,0.34426,0.38385,0.82439,0.66648,0.66667,0.66333,0.66333,0.44699,0.58022,0.87344,0.00102725,0.00102725,0.00102725
11,5119.52,0.31939,0.36852,0.82001,0.66643,0.66667,0.66333,0.66333,0.4298,0.60112,0.8778,0.0010025,0.0010025,0.0010025
12,5480.62,0.30876,0.34114,0.82014,0.66648,0.66667,0.66333,0.66333,0.35979,0.50789,0.85679,0.00097775,0.00097775,0.00097775
13,5822.27,0.30503,0.33624,0.81604,0.6664,0.66667,0.66333,0.66333,0.42187,0.58811,0.87005,0.000953,0.000953,0.000953
14,6142.02,0.29152,0.32523,0.81319,0.66647,0.66667,0.66333,0.66333,0.30371,0.53004,0.82516,0.00092825,0.00092825,0.00092825
15,6489.2,0.28541,0.30639,0.81329,0.66647,0.66667,0.66333,0.66333,0.35752,0.52131,0.91948,0.0009035,0.0009035,0.0009035
16,6845.33,0.2821,0.30324,0.81389,0.66647,0.66667,0.66333,0.66333,0.33356,0.51627,0.85566,0.00087875,0.00087875,0.00087875
17,7160.86,0.27299,0.29539,0.80733,0.66644,0.66667,0.66333,0.66333,0.39546,0.65309,0.88632,0.000854,0.000854,0.000854
18,7475.55,0.2665,0.28546,0.81024,0.66645,0.66667,0.66333,0.66333,0.32395,0.53962,0.88048,0.00082925,0.00082925,0.00082925
19,7786.57,0.26075,0.2778,0.80413,0.66649,0.66667,0.66333,0.66333,0.36152,0.58968,0.91809,0.0008045,0.0008045,0.0008045
20,8098.1,0.25864,0.28027,0.80913,0.66646,0.66667,0.66333,0.66333,0.38849,0.66693,0.94789,0.00077975,0.00077975,0.00077975
21,8408.48,0.25241,0.27429,0.80661,0.66648,0.66667,0.66333,0.66333,0.38598,0.6049,0.95263,0.000755,0.000755,0.000755
22,8721.8,0.24985,0.26255,0.80239,0.66648,0.66667,0.66333,0.66333,0.36092,0.59261,0.8571,0.00073025,0.00073025,0.00073025
23,9026.84,0.24393,0.26563,0.80103,0.66646,0.66667,0.66333,0.66333,0.33918,0.46205,0.81132,0.0007055,0.0007055,0.0007055
24,9329.37,0.2437,0.26903,0.80612,0.66639,0.66667,0.66333,0.66333,0.38335,0.5454,0.93027,0.00068075,0.00068075,0.00068075
