epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,17.1477,2.74899,3.81317,2.3253,0.01328,0.70238,0.12573,0.06274,1.91311,3.32256,1.6015,0,0,0,0,0,0,0,0
2,41.1502,2.33804,3.68604,2.02046,0.01259,0.65476,0.12296,0.06193,1.91881,3.32655,1.59993,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05
3,63.2669,2.30369,3.78019,2.15925,0.0126,0.65476,0.12135,0.06142,1.9176,3.32943,1.59969,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05
4,85.092,2.34063,3.78108,1.96405,0.0126,0.65476,0.11741,0.05879,1.9141,3.32961,1.59654,0.000120971,4.03235e-05,0.000120971,4.03235e-05,0.000120971,4.03235e-05,0.000120971,4.03235e-05
5,106.863,2.44591,3.77853,1.88027,0.01193,0.60714,0.10879,0.05753,1.90476,3.33537,1.5952,0.000157899,5.26329e-05,0.000157899,5.26329e-05,0.000157899,5.26329e-05,0.000157899,5.26329e-05
6,130.022,2.53981,3.78367,2.06366,0.01126,0.55952,0.10742,0.05741,1.90063,3.33865,1.59151,0.000193129,6.43764e-05,0.000193129,6.43764e-05,0.000193129,6.43764e-05,0.000193129,6.43764e-05
7,151.082,2.48213,3.71029,2.06324,0.01187,0.58036,0.10711,0.05747,1.90144,3.33707,1.59126,0.000226662,7.55541e-05,0.000226662,7.55541e-05,0.000226662,7.55541e-05,0.000226662,7.55541e-05
8,173.799,2.62571,3.82263,2.07622,0.0125,0.60119,0.10855,0.05607,1.89397,3.3369,1.58338,0.000258498,8.61658e-05,0.000258498,8.61658e-05,0.000258498,8.61658e-05,0.000258498,8.61658e-05
9,194.914,2.19218,3.50811,1.84778,0.0125,0.60119,0.11037,0.05696,1.88082,3.33064,1.58108,0.000288635,9.62117e-05,0.000288635,9.62117e-05,0.000288635,9.62117e-05,0.000288635,9.62117e-05
10,217.668,2.50481,3.79757,1.91202,0.01248,0.60119,0.09832,0.05219,1.85664,3.33344,1.57121,0.000317075,0.000105692,0.000317075,0.000105692,0.000317075,0.000105692,0.000317075,0.000105692
11,240.105,2.37769,3.53306,2.08953,0.01187,0.58036,0.10072,0.05497,1.83696,3.3273,1.55481,0.000343817,0.000114606,0.000343817,0.000114606,0.000343817,0.000114606,0.000343817,0.000114606
12,265.174,2.54099,3.81168,1.95475,0.01189,0.58036,0.09256,0.05498,1.83964,3.32349,1.55433,0.000368862,0.000122954,0.000368862,0.000122954,0.000368862,0.000122954,0.000368862,0.000122954
13,288.386,2.6687,3.61153,2.09177,0.0119,0.58036,0.09367,0.05691,1.83614,3.32175,1.55939,0.000392209,0.000130736,0.000392209,0.000130736,0.000392209,0.000130736,0.000392209,0.000130736
14,309.068,2.57828,4.02103,2.01334,0.01195,0.60714,0.09512,0.05734,1.80761,3.32256,1.55146,0.000413858,0.000137953,0.000413858,0.000137953,0.000413858,0.000137953,0.000413858,0.000137953
15,327.392,2.33783,3.60412,2.09561,0.01195,0.60714,0.10434,0.06046,1.79521,3.32305,1.54888,0.00043381,0.000144603,0.00043381,0.000144603,0.00043381,0.000144603,0.00043381,0.000144603
16,345.181,2.2278,3.70724,1.98007,0.01195,0.60714,0.10494,0.06021,1.77965,3.32247,1.54029,0.000452064,0.000150688,0.000452064,0.000150688,0.000452064,0.000150688,0.000452064,0.000150688
17,363.911,2.26725,3.58994,1.90734,0.01191,0.60714,0.10401,0.06022,1.76321,3.32125,1.52712,0.000468621,0.000156207,0.000468621,0.000156207,0.000468621,0.000156207,0.000468621,0.000156207
18,367.851,2.36393,3.8144,1.89893,0.01191,0.60714,0.10401,0.06022,1.76321,3.32125,1.52712,0.000483479,0.00016116,0.000483479,0.00016116,0.000483479,0.00016116,0.000483479,0.00016116
19,389.326,2.01896,3.34965,1.77418,0.01195,0.60714,0.10761,0.06027,1.76979,3.32017,1.52453,0.00049664,0.000165547,0.00049664,0.000165547,0.00049664,0.000165547,0.00049664,0.000165547
20,395.033,2.60568,3.72703,1.95605,0.01195,0.60714,0.10761,0.06027,1.76979,3.32017,1.52453,0.000508104,0.000169368,0.000508104,0.000169368,0.000508104,0.000169368,0.000508104,0.000169368
21,420.171,2.29772,3.62818,1.84619,0.01195,0.60714,0.10945,0.06108,1.78119,3.32011,1.53814,0.00051787,0.000172623,0.00051787,0.000172623,0.00051787,0.000172623,0.00051787,0.000172623
22,425.672,2.61324,3.75161,2.01878,0.01195,0.60714,0.10945,0.06108,1.78119,3.32011,1.53814,0.000525938,0.000175313,0.000525938,0.000175313,0.000525938,0.000175313,0.000525938,0.000175313
23,450.895,2.42491,3.65856,1.98686,0.01262,0.65476,0.10499,0.06004,1.78574,3.31527,1.54301,0.000532308,0.000177436,0.000532308,0.000177436,0.000532308,0.000177436,0.000532308,0.000177436
24,456.009,2.43754,3.69373,1.84843,0.01262,0.65476,0.10499,0.06004,1.78574,3.31527,1.54301,0.000536981,0.000178994,0.000536981,0.000178994,0.000536981,0.000178994,0.000536981,0.000178994
25,475.869,2.25603,3.58403,1.93688,0.0126,0.62798,0.11623,0.06606,1.77232,3.30742,1.52944,0.000539956,0.000179985,0.000539956,0.000179985,0.000539956,0.000179985,0.000539956,0.000179985
26,480.891,2.25998,3.66653,1.87058,0.0126,0.62798,0.11623,0.06606,1.77232,3.30742,1.52944,0.000541234,0.000180411,0.000541234,0.000180411,0.000541234,0.000180411,0.000541234,0.000180411
27,502.437,2.22329,3.61586,1.80532,0.01332,0.6756,0.12312,0.06927,1.79337,3.30951,1.52811,0.000540814,0.000180271,0.000540814,0.000180271,0.000540814,0.000180271,0.000540814,0.000180271
28,508.235,2.27409,3.49858,1.90475,0.01332,0.6756,0.12312,0.06927,1.79337,3.30951,1.52811,0.000538696,0.000179565,0.000538696,0.000179565,0.000538696,0.000179565,0.000538696,0.000179565
29,530.466,2.45593,3.70641,1.94515,0.01266,0.62798,0.1355,0.07348,1.79562,3.31064,1.52652,0.00053488,0.000178293,0.00053488,0.000178293,0.00053488,0.000178293,0.00053488,0.000178293
30,535.548,2.17721,3.64692,1.87445,0.01266,0.62798,0.1355,0.07348,1.79562,3.31064,1.52652,0.000529367,0.000176456,0.000529367,0.000176456,0.000529367,0.000176456,0.000529367,0.000176456
