epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,32.8495,2.20372,3.60042,1.93575,0.01245,0.70336,0.08566,0.04034,2.06025,3.32997,1.68084,0,0,0,0,0,0,0,0
2,71.8211,2.37147,3.66215,2.07749,0.01247,0.68639,0.08571,0.03855,2.04695,3.32919,1.66843,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05,4.20212e-05,1.40071e-05
3,112.616,2.46988,3.74219,2.11609,0.01223,0.67826,0.0861,0.03886,2.03925,3.33196,1.66531,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05,8.23447e-05,2.74482e-05
4,153.618,2.45781,3.64124,2.19918,0.01222,0.67826,0.08633,0.0394,2.04935,3.33397,1.67316,0.000120971,4.03235e-05,0.000120971,4.03235e-05,0.000120971,4.03235e-05,0.000120971,4.03235e-05
5,201.727,2.35341,3.65375,2.02422,0.01202,0.65316,0.08685,0.03928,2.04743,3.33861,1.67545,0.000157899,5.26329e-05,0.000157899,5.26329e-05,0.000157899,5.26329e-05,0.000157899,5.26329e-05
6,266.393,2.16422,3.57096,1.97009,0.01222,0.65608,0.0861,0.03921,2.04377,3.33456,1.67362,0.000193129,6.43764e-05,0.000193129,6.43764e-05,0.000193129,6.43764e-05,0.000193129,6.43764e-05
7,317.951,2.23646,3.58613,1.95278,0.0122,0.65608,0.08647,0.03982,2.03131,3.3367,1.67169,0.000226662,7.55541e-05,0.000226662,7.55541e-05,0.000226662,7.55541e-05,0.000226662,7.55541e-05
8,356.371,2.36039,3.6695,2.10466,0.01171,0.59548,0.08628,0.04033,2.02252,3.33519,1.67071,0.000258498,8.61658e-05,0.000258498,8.61658e-05,0.000258498,8.61658e-05,0.000258498,8.61658e-05
9,384.487,2.30943,3.66601,1.89543,0.01168,0.5733,0.08738,0.03941,2.00972,3.33455,1.66543,0.000288635,9.62117e-05,0.000288635,9.62117e-05,0.000288635,9.62117e-05,0.000288635,9.62117e-05
10,413.296,2.28285,3.58045,2.03368,0.01169,0.5733,0.08539,0.03926,1.99401,3.33008,1.65391,0.000317075,0.000105692,0.000317075,0.000105692,0.000317075,0.000105692,0.000317075,0.000105692
11,450.737,2.33255,3.61741,1.94777,0.01171,0.5733,0.0882,0.03931,1.9885,3.3301,1.65195,0.000343817,0.000114606,0.000343817,0.000114606,0.000343817,0.000114606,0.000343817,0.000114606
12,487.849,2.32857,3.67659,1.99581,0.01147,0.55997,0.09313,0.04076,1.99011,3.32774,1.65076,0.000368862,0.000122954,0.000368862,0.000122954,0.000368862,0.000122954,0.000368862,0.000122954
13,534.153,2.44468,3.69444,2.0775,0.01171,0.59027,0.09354,0.04203,1.98966,3.3305,1.64962,0.000392209,0.000130736,0.000392209,0.000130736,0.000392209,0.000130736,0.000392209,0.000130736
14,581.996,2.33042,3.60753,1.93656,0.01148,0.58214,0.09441,0.04244,1.98493,3.33393,1.64867,0.000413858,0.000137953,0.000413858,0.000137953,0.000413858,0.000137953,0.000413858,0.000137953
15,617.008,2.2026,3.5186,1.90113,0.01147,0.58214,0.09385,0.0421,1.98738,3.33825,1.65483,0.00043381,0.000144603,0.00043381,0.000144603,0.00043381,0.000144603,0.00043381,0.000144603
16,649.774,2.42565,3.67692,2.04624,0.01149,0.60432,0.09392,0.04199,1.983,3.33803,1.65432,0.000452064,0.000150688,0.000452064,0.000150688,0.000452064,0.000150688,0.000452064,0.000150688
17,680.704,2.37103,3.66254,2.00814,0.01096,0.58285,0.09568,0.04348,1.97527,3.33773,1.65483,0.000468621,0.000156207,0.000468621,0.000156207,0.000468621,0.000156207,0.000468621,0.000156207
18,695,2.19343,3.58519,1.92455,0.01096,0.58285,0.09568,0.04348,1.97527,3.33773,1.65483,0.000483479,0.00016116,0.000483479,0.00016116,0.000483479,0.00016116,0.000483479,0.00016116
19,725.745,2.29373,3.71621,1.88062,0.01099,0.56588,0.10061,0.0472,1.96731,3.33645,1.65547,0.00049664,0.000165547,0.00049664,0.000165547,0.00049664,0.000165547,0.00049664,0.000165547
20,742.865,2.09787,3.60737,1.82417,0.01099,0.56588,0.10061,0.0472,1.96731,3.33645,1.65547,0.000508104,0.000169368,0.000508104,0.000169368,0.000508104,0.000169368,0.000508104,0.000169368
21,771.715,2.32603,3.70212,1.91038,0.01148,0.58214,0.10221,0.0495,1.96222,3.33729,1.65608,0.00051787,0.000172623,0.00051787,0.000172623,0.00051787,0.000172623,0.00051787,0.000172623
22,784.584,2.05149,3.46785,1.83143,0.01148,0.58214,0.10221,0.0495,1.96222,3.33729,1.65608,0.000525938,0.000175313,0.000525938,0.000175313,0.000525938,0.000175313,0.000525938,0.000175313
