epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,250.187,2.53899,3.60201,2.25602,0.016,0.85132,0.18082,0.07027,2.11628,3.2271,1.61587,0.00017148,5.716e-05,0.00017148,5.716e-05,0.00017148,5.716e-05,0.00017148,5.716e-05
2,486.559,2.45542,3.57466,2.17778,0.01574,0.82102,0.16205,0.06571,2.09351,3.22949,1.60754,0.000378191,0.000126064,0.000378191,0.000126064,0.000378191,0.000126064,0.000378191,0.000126064
3,684.759,2.42311,3.55297,2.13838,0.01597,0.85132,0.16419,0.07044,2.02158,3.23284,1.57773,0.000576413,0.000192138,0.000576413,0.000192138,0.000576413,0.000192138,0.000576413,0.000192138
4,863.063,2.44699,3.59252,2.16047,0.01496,0.78551,0.16612,0.07356,1.98231,3.22541,1.54503,0.000766147,0.000255382,0.000766147,0.000255382,0.000766147,0.000255382,0.000766147,0.000255382
5,1025.72,2.40393,3.54163,2.11629,0.01472,0.77218,0.16234,0.07809,1.93187,3.22035,1.50155,0.000947393,0.000315798,0.000947393,0.000315798,0.000947393,0.000315798,0.000947393,0.000315798
6,1170.38,2.28156,3.53795,2.04792,0.01389,0.72562,0.15815,0.08057,1.868,3.22629,1.47251,0.00112015,0.000373383,0.00112015,0.000373383,0.00112015,0.000373383,0.00112015,0.000373383
7,1393.53,2.18098,3.53855,1.94136,0.01463,0.75521,0.16602,0.08512,1.76204,3.22134,1.4121,0.00128442,0.00042814,0.00128442,0.00042814,0.00128442,0.00042814,0.00128442,0.00042814
8,1497.41,2.20627,3.46719,1.99248,0.01404,0.73082,0.16045,0.08633,1.70967,3.22631,1.39169,0.0014402,0.000480067,0.0014402,0.000480067,0.0014402,0.000480067,0.0014402,0.000480067
9,1638.45,2.07323,3.42013,1.88725,0.01483,0.76562,0.16968,0.09105,1.58896,3.22081,1.33041,0.00158749,0.000529164,0.00158749,0.000529164,0.00158749,0.000529164,0.00158749,0.000529164
10,1770.18,1.95847,3.38147,1.82726,0.01525,0.79592,0.16739,0.09239,1.54766,3.22399,1.30949,0.0017263,0.000575433,0.0017263,0.000575433,0.0017263,0.000575433,0.0017263,0.000575433
11,1958.44,1.96948,3.37724,1.80173,0.01527,0.79072,0.172,0.09196,1.51713,3.21512,1.28722,0.00185661,0.000618871,0.00185661,0.000618871,0.00185661,0.000618871,0.00185661,0.000618871
12,2082.65,1.81779,3.29913,1.66739,0.01446,0.73602,0.18754,0.10356,1.51331,3.20453,1.28309,0.00197844,0.000659481,0.00197844,0.000659481,0.00197844,0.000659481,0.00197844,0.000659481
13,2190.95,1.86506,3.30724,1.74177,0.0148,0.74415,0.18761,0.10314,1.51473,3.19518,1.28111,0.00209178,0.000697261,0.00209178,0.000697261,0.00209178,0.000697261,0.00209178,0.000697261
14,2313.22,1.89511,3.26124,1.75066,0.01732,0.88384,0.19315,0.10633,1.51765,3.16196,1.27897,0.00219663,0.000732211,0.00219663,0.000732211,0.00219663,0.000732211,0.00219663,0.000732211
15,2418.94,1.87901,3.21129,1.69717,0.01791,0.91707,0.20769,0.11572,1.50226,3.10791,1.28151,0.002293,0.000764332,0.002293,0.000764332,0.002293,0.000764332,0.002293,0.000764332
16,2496.88,1.79166,3.05708,1.62883,0.01817,0.93041,0.24079,0.13328,1.48762,3.05469,1.28661,0.00238087,0.000793624,0.00238087,0.000793624,0.00238087,0.000793624,0.00238087,0.000793624
17,2612.92,1.77702,2.98826,1.6503,0.01783,0.91707,0.33968,0.18836,1.48846,2.9374,1.30904,0.00246026,0.000820086,0.00246026,0.000820086,0.00246026,0.000820086,0.00246026,0.000820086
18,2726.85,1.89139,2.94824,1.66402,0.34044,0.25593,0.38754,0.21066,1.48744,2.86945,1.32246,0.00253116,0.000843719,0.00253116,0.000843719,0.00253116,0.000843719,0.00253116,0.000843719
19,2884.75,1.80038,2.8144,1.61255,0.7754,0.11089,0.45689,0.24625,1.49313,2.78656,1.33221,0.00259357,0.000864522,0.00259357,0.000864522,0.00259357,0.000864522,0.00259357,0.000864522
20,3013.49,1.82568,2.80136,1.6514,0.6477,0.26338,0.54132,0.29169,1.4832,2.5971,1.34824,0.00264749,0.000882496,0.00264749,0.000882496,0.00264749,0.000882496,0.00264749,0.000882496
21,6693.91,1.7155,2.53349,1.55418,0.63687,0.48256,0.54716,0.29087,1.49241,2.49972,1.35777,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
