epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.056,1.8462,3.45139,1.78971,0.01354,1,0.99099,0.8597,0.60415,3.12997,0.75712,0.0003875,0.0003875,0.0003875
2,433.256,0.99969,1.58895,1.12454,0.99585,0.5,0.98724,0.71752,0.83979,2.72823,0.98689,0.000771908,0.000771908,0.000771908
3,635.295,0.82151,1.22264,1.04524,0.99895,0.5,0.60247,0.5608,0.96286,2.60164,1.00491,0.00114047,0.00114047,0.00114047
4,835.869,0.73975,1.08031,0.99456,0.99533,0.7887,0.995,0.97836,0.41986,1.48917,0.85971,0.00117575,0.00117575,0.00117575
5,1034.48,0.64194,0.95673,0.96652,0.99627,1,0.995,0.98223,0.33635,0.82611,0.84118,0.001151,0.001151,0.001151
6,1251.65,0.564,0.83041,0.93881,0.99529,0.97557,0.995,0.94968,0.36912,1.18415,0.86991,0.00112625,0.00112625,0.00112625
7,1452.57,0.53076,0.76483,0.90819,0.99793,1,0.995,0.89558,0.40498,0.76477,0.8411,0.0011015,0.0011015,0.0011015
8,1652.32,0.52001,0.7392,0.90411,0.99524,0.9898,0.995,0.94551,0.39705,0.83334,0.87782,0.00107675,0.00107675,0.00107675
9,1851.09,0.47247,0.66651,0.90104,0.99554,1,0.995,0.99351,0.25944,0.67728,0.81617,0.001052,0.001052,0.001052
10,2061.31,0.45707,0.60882,0.88699,0.99882,1,0.995,0.98922,0.23096,0.52083,0.78959,0.00102725,0.00102725,0.00102725
11,2288.42,0.46359,0.59056,0.89331,0.99944,1,0.995,0.99345,0.23695,0.5054,0.77519,0.0010025,0.0010025,0.0010025
12,2467.96,0.44816,0.56337,0.88436,0.9994,1,0.995,0.99444,0.24158,0.45474,0.82641,0.00097775,0.00097775,0.00097775
13,2659.5,0.42131,0.54857,0.87956,0.99836,1,0.995,0.995,0.24352,0.47683,0.78255,0.000953,0.000953,0.000953
14,2851.32,0.41105,0.52106,0.87982,0.99849,1,0.995,0.9867,0.22433,0.43732,0.82055,0.00092825,0.00092825,0.00092825
15,3052.97,0.40045,0.48634,0.87113,0.99883,1,0.995,0.99451,0.24134,0.42164,0.80497,0.0009035,0.0009035,0.0009035
16,3250.63,0.37415,0.468,0.87008,0.99595,0.99977,0.995,0.99059,0.27397,0.5059,0.83364,0.00087875,0.00087875,0.00087875
17,3450.72,0.36442,0.45313,0.86278,0.99659,0.9999,0.995,0.995,0.22406,0.40235,0.80436,0.000854,0.000854,0.000854
18,3644.42,0.37439,0.44991,0.86171,0.9975,1,0.995,0.995,0.16515,0.4097,0.79438,0.00082925,0.00082925,0.00082925
19,3838.71,0.35903,0.43299,0.85532,0.99936,1,0.995,0.9528,0.26524,0.40619,0.79786,0.0008045,0.0008045,0.0008045
20,4041.1,0.37362,0.44118,0.86184,0.99768,0.99995,0.995,0.99267,0.21763,0.37303,0.8304,0.00077975,0.00077975,0.00077975
21,4240.28,0.35547,0.42063,0.85116,0.99682,0.9997,0.995,0.995,0.20095,0.40067,0.81835,0.000755,0.000755,0.000755
22,4437.15,0.33745,0.39979,0.84824,0.99944,1,0.995,0.995,0.23337,0.35911,0.8283,0.00073025,0.00073025,0.00073025
23,4645.3,0.34958,0.39479,0.85922,0.99792,1,0.995,0.98864,0.20184,0.34475,0.80205,0.0007055,0.0007055,0.0007055
24,4856.89,0.32447,0.37688,0.84886,0.99901,1,0.995,0.995,0.18543,0.32477,0.81607,0.00068075,0.00068075,0.00068075
25,5052.16,0.33667,0.37189,0.85634,0.99937,1,0.995,0.995,0.1835,0.29282,0.80972,0.000656,0.000656,0.000656
26,5244.31,0.32224,0.37096,0.84811,0.99908,1,0.995,0.995,0.17778,0.31042,0.80712,0.00063125,0.00063125,0.00063125
27,5439.59,0.30037,0.35177,0.83933,0.99937,1,0.995,0.995,0.19475,0.30724,0.79488,0.0006065,0.0006065,0.0006065
28,5631.2,0.30901,0.34438,0.85088,0.99886,1,0.995,0.995,0.14194,0.24878,0.79426,0.00058175,0.00058175,0.00058175
29,5831.87,0.31876,0.354,0.8529,0.99894,1,0.995,0.995,0.15738,0.26896,0.80621,0.000557,0.000557,0.000557
30,5999.74,0.31163,0.34518,0.84789,0.99776,1,0.995,0.9657,0.20651,0.29895,0.83843,0.00053225,0.00053225,0.00053225
31,6193.91,0.29909,0.33669,0.84214,0.99855,1,0.995,0.995,0.18408,0.29997,0.80535,0.0005075,0.0005075,0.0005075
32,6391.22,0.30575,0.35302,0.84887,0.99883,1,0.995,0.99455,0.16568,0.2754,0.8043,0.00048275,0.00048275,0.00048275
33,6585.02,0.28892,0.32839,0.83687,0.99764,1,0.995,0.995,0.18729,0.3058,0.80725,0.000458,0.000458,0.000458
34,6778.38,0.28127,0.32234,0.84046,0.99815,1,0.995,0.995,0.15087,0.28876,0.80542,0.00043325,0.00043325,0.00043325
35,6966.74,0.29334,0.32672,0.83997,0.99747,1,0.995,0.99472,0.15497,0.28642,0.80885,0.0004085,0.0004085,0.0004085
36,9050.56,0.27844,0.3197,0.84061,0.99866,1,0.995,0.995,0.15414,0.27004,0.80752,0.00038375,0.00038375,0.00038375
37,9190.26,0.28975,0.30962,0.83316,0.99841,1,0.995,0.995,0.15654,0.26197,0.80439,0.000359,0.000359,0.000359
38,9331.24,0.28313,0.29815,0.84105,0.9993,1,0.995,0.995,0.18859,0.2642,0.80032,0.00033425,0.00033425,0.00033425
39,9468.58,0.28231,0.30909,0.84005,0.99844,1,0.995,0.995,0.20557,0.27913,0.79816,0.0003095,0.0003095,0.0003095
40,9605.79,0.26096,0.28976,0.83074,0.99827,1,0.995,0.995,0.14342,0.25207,0.79395,0.00028475,0.00028475,0.00028475
41,9736.08,0.17412,0.24907,0.78037,0.99814,1,0.995,0.995,0.12585,0.23812,0.76142,0.00026,0.00026,0.00026
42,9865.11,0.16584,0.22843,0.79198,0.99815,1,0.995,0.995,0.15389,0.20368,0.78652,0.00023525,0.00023525,0.00023525
43,9999.1,0.15609,0.21631,0.79007,0.99904,1,0.995,0.995,0.15476,0.23381,0.78695,0.0002105,0.0002105,0.0002105
44,10130.7,0.15271,0.21055,0.77498,0.99894,1,0.995,0.995,0.12881,0.23521,0.7806,0.00018575,0.00018575,0.00018575
45,10263,0.15147,0.20555,0.79686,0.99909,1,0.995,0.995,0.12572,0.1972,0.78389,0.000161,0.000161,0.000161
46,10393.9,0.1436,0.19837,0.78145,0.9988,1,0.995,0.995,0.13202,0.19233,0.78436,0.00013625,0.00013625,0.00013625
47,10525,0.13745,0.19344,0.77724,0.99898,1,0.995,0.995,0.11922,0.19273,0.78311,0.0001115,0.0001115,0.0001115
